Modelo,Accuracy,Precision,Recall,F1_macro,ROC_AUC,PR_AUC,Tiempo_segundos
Random Forest,0.8791565287915653,0.5976744186046512,0.6727748691099477,0.7803374145104979,0.8999821627759745,0.6702541343424738,5.061715126037598
SVM RBF,0.8617193836171938,0.5384615384615384,0.7513089005235603,0.7712165917800169,0.8944256162635286,0.6257427316995365,20.92271327972412
Logistic Regression,0.8609083536090836,0.5386138613861386,0.7120418848167539,0.7642536124740971,0.8818208539759423,0.608111976098367,0.016129493713378906
KNN,0.875506893755069,0.6506024096385542,0.42408376963350786,0.7210459661649467,0.8056263880375034,0.4916260363260192,0.01493692398071289
Decision Tree,0.8499594484995945,0.5175438596491229,0.46335078534031415,0.7005112597945508,0.6920880606164144,0.32293492964778414,0.15925812721252441
DummyClassifier,0.8450932684509327,0.0,0.0,0.458021978021978,0.5,0.1549067315490673,0.0008802413940429688
